Rank,Player,Player_url,Position,Country,Club_info,Minutes,Goals,Matches,Goals_per_match
3,Lionel Messi,https://www.transfermarkt.es/lionel-messi/profil/spieler/28003,Extremo derecho,Argentina,2 Clubes,13577,129,163,0.7914110429447853
13,Robert Lewandowski,https://www.transfermarkt.es/robert-lewandowski/profil/spieler/38253,Delantero centro,Polonia,3 Clubes,11290,105,137,0.7664233576642335
1,Cristiano Ronaldo,https://www.transfermarkt.es/cristiano-ronaldo/profil/spieler/8198,Delantero centro,Portugal,3 Clubes,15758,140,183,0.7650273224043715
6,Karim Benzema,https://www.transfermarkt.es/karim-benzema/profil/spieler/18922,Delantero centro,Francia,2 Clubes,10943,90,152,0.5921052631578947
11,Raúl,https://www.transfermarkt.es/raul/profil/spieler/7349,Mediapunta,España,2 Clubes,11985,71,142,0.5
21,Zlatan Ibrahimović,https://www.transfermarkt.es/zlatan-ibrahimovic/profil/spieler/3455,Delantero centro,Suecia,7 Clubes,9898,48,124,0.3870967741935484
4,Thomas Müller,https://www.transfermarkt.es/thomas-muller/profil/spieler/58358,Mediapunta,Alemania,,10452,57,163,0.3496932515337423
20,Paul Scholes,https://www.transfermarkt.es/paul-scholes/profil/spieler/3397,Mediocentro,Inglaterra,,9230,24,124,0.1935483870967742
9,Ryan Giggs,https://www.transfermarkt.es/ryan-giggs/profil/spieler/3406,Interior izquierdo,Gales,,10556,28,145,0.19310344827586207
23,Roberto Carlos,https://www.transfermarkt.es/roberto-carlos/profil/spieler/7518,Lateral izquierdo,Brasil,2 Clubes,10488,16,120,0.13333333333333333
17,Gerard Piqué,https://www.transfermarkt.es/gerard-pique/profil/spieler/18944,Defensa central,España,2 Clubes,10627,16,128,0.125
12,Sergio Ramos,https://www.transfermarkt.es/sergio-ramos/profil/spieler/25557,Defensa central,España,3 Clubes,12449,17,142,0.11971830985915492
18,Clarence Seedorf,https://www.transfermarkt.es/clarence-seedorf/profil/spieler/4168,Mediocentro,Países Bajos,3 Clubes,9519,11,125,0.088
15,Andrés Iniesta,https://www.transfermarkt.es/andres-iniesta/profil/spieler/7600,Mediocentro,España,,9238,11,130,0.08461538461538462
7,Xavi,https://www.transfermarkt.es/xavi/profil/spieler/7607,Mediocentro,España,,11308,11,151,0.0728476821192053
8,Toni Kroos,https://www.transfermarkt.es/toni-kroos/profil/spieler/31909,Mediocentro,Alemania,2 Clubes,11635,11,151,0.0728476821192053
10,Luka Modrić,https://www.transfermarkt.es/luka-modric/profil/spieler/27992,Mediocentro,Croacia,2 Clubes,9867,9,142,0.06338028169014084
25,Xabi Alonso,https://www.transfermarkt.es/xabi-alonso/profil/spieler/7476,Pivote,España,4 Clubes,9675,6,119,0.05042016806722689
22,David Alaba,https://www.transfermarkt.es/david-alaba/profil/spieler/59016,Defensa central,Austria,2 Clubes,9974,6,123,0.04878048780487805
24,Pepe,https://www.transfermarkt.es/pepe/profil/spieler/14132,Defensa central,Portugal,3 Clubes,10038,5,120,0.041666666666666664
16,Sergio Busquets,https://www.transfermarkt.es/sergio-busquets/profil/spieler/65230,Pivote,España,,10395,4,129,0.031007751937984496
14,Paolo Maldini,https://www.transfermarkt.es/paolo-maldini/profil/spieler/5803,Lateral izquierdo,Italia,,11450,3,135,0.022222222222222223
5,Manuel Neuer,https://www.transfermarkt.es/manuel-neuer/profil/spieler/17259,Portero,Alemania,2 Clubes,13903,0,155,0.0
2,Iker Casillas,https://www.transfermarkt.es/iker-casillas/profil/spieler/3979,Portero,España,2 Clubes,15787,0,177,0.0
19,Gianluigi Buffon,https://www.transfermarkt.es/gianluigi-buffon/profil/spieler/5023,Portero,Italia,3 Clubes,11160,0,124,0.0
