Rank,Player,Position,Clubs_info,Nationality,Age,Seasons,Matches,Goals
1,Cristiano Ronaldo,Delantero centro,Para 3 clubes,Portugal,40.0,19,183,140
2,Lionel Messi,Extremo derecho,Para 2 clubes,Argentina,38.0,19,163,129
3,Robert Lewandowski,Delantero centro,Para 3 clubes,Polonia,37.0,15,137,105
4,Karim Benzema,Delantero centro,Para 2 clubes,Francia,37.0,19,152,90
5,Raúl,Mediapunta,Para 2 clubes,España,48.0,15,142,71
6,Kylian Mbappé,Delantero centro,Para 3 clubes,Francia,26.0,10,92,64
7,Thomas Müller,Mediapunta,,Alemania,36.0,17,163,57
8,Ruud van Nistelrooy,Delantero centro,Para 3 clubes,Países Bajos,49.0,11,73,56
9,Erling Haaland,Delantero centro,Para 3 clubes,Noruega,25.0,7,53,54
10,Thierry Henry,Delantero centro,Para 3 clubes,Francia,48.0,13,112,50
11,Alfredo di Stéfano,Mediapunta,,España,,9,58,49
12,Zlatan Ibrahimović,Delantero centro,Para 6 clubes,Suecia,44.0,16,124,48
13,Mohamed Salah,Extremo derecho,Para 3 clubes,Egipto,33.0,11,93,48
14,Andriy Shevchenko,Delantero centro,Para 3 clubes,Ucrania,49.0,12,100,48
15,Eusébio,Delantero centro,,Portugal,,11,64,46
16,Filippo Inzaghi,Delantero centro,Para 2 clubes,Italia,52.0,11,81,46
17,Harry Kane,Delantero centro,Para 2 clubes,Inglaterra,32.0,8,62,45
18,Didier Drogba,Delantero centro,Para 3 clubes,Costa de Marfil,47.0,12,92,44
19,Neymar,Mediocentro ofensivo,Para 2 clubes,Brasil,33.0,10,81,43
20,Antoine Griezmann,Mediapunta,Para 2 clubes,Francia,34.0,13,110,43
21,Alessandro Del Piero,Mediapunta,,Italia,51.0,12,89,42
22,Sergio Agüero,Delantero centro,Para 2 clubes,Argentina,37.0,13,79,41
23,Ferenc Puskás,Delantero centro,Para 2 clubes,Hungría,,9,41,36
24,Edinson Cavani,Delantero centro,Para 2 clubes,Uruguay,38.0,10,70,35
25,Gerd Müller,Delantero centro,,Alemania,,6,35,34
